t,x,y,psi,vy,r,delta_sfa,delta_rwa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lambda,real_h,ttc,perceived_h,raw_cmd,lpf_cmd,sfa_cmd,driver_hazard,driver_obstacle_term,driver_burst_mult,auto_hazard,auto_y_ref,auto_repulsive
0.49999999999999994,9.99998021394767,0.011196632801696206,0.00796188606993402,0.07738236183286644,0.13497950745439388,0.0,0.025113247546653887,0.0,0.13666596307067738,0.04099978892120322,0.7,55.250117576470224,1.5000009893026165,75.5625,0.0,0.0,0.0,0.0,0.0,1.0,0.14285657754136194,0.3142844705909963,0.0011585867819757774
0.5499999999999999,10.99991771314824,0.023027430209848133,0.014710861442653714,0.0766182065364112,0.17590650832113697,0.0,0.03173263978604944,0.0,0.15161943638420286,0.045485830915260865,0.7,51.56298177210928,1.450004114342588,71.25,0.0,0.0,0.0,0.0,0.0,1.0,0.17142622037566413,0.3771376848264611,0.0016887896112366759
0.6,11.999753156419034,0.041568256875059634,0.023506186858710563,0.06903741606313381,0.21176449439330366,0.0,0.037463136089887536,0.0,0.16132722015833725,0.04839816604750118,0.7,48.001461852528344,1.4000123421790485,67.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.19999294732625805,0.43998448411776775,0.002310322382156032
0.65,12.999395765881276,0.0685231963029141,0.03409441157837575,0.05683346702409653,0.2407773653524874,0.0,0.04201939857222656,0.0,0.16524393403314216,0.049573180209942655,0.7,44.56616402868965,1.3500302117059362,63.00000040485958,-0.0018064152848639473,-0.0007526730353599781,0.0,0.0,0.0,1.0,0.228554164739465,0.502819162426823,0.0030071795806249795
0.7000000000000001,13.99871774131882,0.10545102476653896,0.046133279846000116,0.04141831629046353,0.2616159266143524,0.0,0.0451668075879416,0.0,0.1630057243849311,0.04890171731547934,0.7,41.258015166182915,1.3000641129340589,59.06251629344841,-0.007143479912449808,-0.0034155092341474074,0.0,0.0,0.0,1.0,0.2571062211805377,0.565633686597183,0.0037575343490271226
0.7500000000000001,14.997558286029223,0.15363665472961624,0.059214076176717735,0.02370722496033977,0.27324026438099686,0.0,0.04672301997441566,0.0,0.1544770648928295,0.04634311946784886,0.7,38.07829827953473,1.2501220856985387,55.250117576470224,-0.017304788538840543,-0.009202708944436214,0.0,0.0,0.0,1.0,0.2856445224579779,0.6284179494075514,0.004536917073038253
0.8000000000000002,15.995735495757998,0.2139994169209482,0.07287608939576758,0.004424232937089177,0.2748992291127703,0.0,0.04656472809667949,0.0,0.13976869618461313,0.041930608855383945,0.7,35.028640929780714,1.2002132252121,51.56298177210928,-0.029626204296452747,-0.017712498674443102,-0.0007526730353599781,0.0333305904382748,0.0036340883386789266,1.0,0.31416387130737133,0.691160516876217,0.005322368893470872
0.8500000000000002,16.993065101819802,0.2870316413646849,0.08662105085140609,-0.015723270932537073,0.2661791449246823,-0.00020907584315554948,0.04463384507947302,-1.3938389543703298e-05,0.11924075318166424,0.03576246908181868,0.7,32.110948506977,1.15034674490901,48.001461852528344,-0.04118226054284444,-0.027491566119610324,-0.0034155092341474074,0.06665843854730114,0.014588942340633146,1.0,0.3426590029091372,0.7538498064001019,0.006096229654022477
0.9000000000000002,17.98938385694756,0.37276119422597553,0.0999300080976402,-0.036005747903749996,0.24703280272229727,-0.0010997517850977322,0.04093743841378371,-7.331678567318215e-05,0.09349878324940235,0.02799831322484948,0.7,29.32728133623457,1.100530807152622,44.56616402868965,-0.052759338638003916,-0.03801980466894099,-0.009202708944436214,0.0999798588627091,0.032660595538324885,1.0,0.3711252530556445,0.8164755567224179,0.006848485855741948
0.9500000000000003,18.984574610784264,0.4707336623618566,0.11228164823375507,-0.05568670420750761,0.21778535742698035,-0.0033505732182473108,0.035546136251727777,-0.00022337154788315406,0.06338136861428878,0.018858050500768428,0.7,26.67968132117871,1.0507712694607867,41.258015166182915,-0.06535707887859571,-0.049410335589630455,-0.017712498674443102,0.13329059137729404,0.05722757652740087,1.0,0.3995592745938361,0.8790304041064395,0.0075773439974369415
1.0000000000000002,19.978589619530528,0.5800127313079737,0.12317091610510408,-0.07404178402271643,0.17912955937385672,-0.007339996956079476,0.02859276718882805,-0.0004893331304052984,0.02993740825271131,0.008638689284529686,0.7,24.169961095731676,1.0010705190234737,38.07829827953473,-0.08010649898106728,-0.062200403669395804,-0.027491566119610324,0.16658527620097419,0.0872933677676265,1.0,0.427959703415158,0.9415113475133476,0.00828840035989078
1.0500000000000003,20.971468505074707,0.6991984020280761,0.13212739407379692,-0.09033250033910928,0.13214756288952184,-0.012937655057060267,0.020278568062037063,-0.0008625103371373512,-0.005612894353530901,-0.0022876255420554163,0.7,21.79947525632784,0.9514265747462647,35.028640929780714,-0.09809062463729175,-0.0771546624060191,-0.03801980466894099,0.1998578498585999,0.12163557982330438,1.0,0.456327671573563,1.0039208774618387,0.008993113980231766
1.1000000000000003,21.963347407325465,0.8264644350902189,0.13873477221827302,-0.103799020660978,0.07833114064343881,-0.019904918838138247,0.010875987393665196,-0.0013269945892092165,-0.04192805484618356,-0.013507312666301521,0.7,19.568899515649466,0.9018326296337268,32.110948506977,-0.12012317142119588,-0.09505820782900942,-0.049410335589630455,0.23310217006066003,0.15901370252134933,1.0,0.4846670687807275,1.0662675513176005,0.009707230750065451
1.1500000000000004,22.95445688387716,0.9596145048654567,0.14265132925044496,-0.11373653622836913,0.019539047220489644,-0.028100867935774973,0.00071627903534573,-0.0018733911957183316,-0.0775944031356613,-0.024589694777701225,0.7,17.47804543521589,0.8522771558061419,29.32728133623457,-0.14655352240220668,-0.11651458890117494,-0.062200403669395804,0.26631279523158524,0.19836714575877615,1.0,0.5129844823964903,1.1285658612722789,0.010449572358921607
1.2000000000000004,23.94510791024842,1.0961534515024811,0.14362828161146945,-0.119580581036711,-0.04209206879753669,-0.037572961195114093,-0.009827876720090502,-0.0025048640796742727,-0.11117446665820983,-0.03510574485323494,0.7,15.52573457324965,0.802744604487579,26.67968132117871,-0.1771464369231946,-0.14177785891034977,-0.0771546624060191,0.29948582035947546,0.2389513849030836,1.0,0.5412887974356692,1.1908353543584722,0.01124136974799829
1.2500000000000004,24.935666896197326,1.2333709581999834,0.14152367817159262,-0.12095867718345431,-0.10425448945082735,-0.04856787819814327,-0.020360321775567354,-0.0032378585465428844,-0.14125611714680497,-0.04464333612662152,0.7,13.709751379987413,0.7532166551901337,24.169961095731676,-0.21105085559237002,-0.1706416075278582,-0.09505820782900942,0.3326196539843509,0.28039542917416127,1.0,0.569590482748495,1.253099062046689,0.01210614799547081
1.3000000000000005,25.92652219574321,1.368435212782017,0.13631095369905125,-0.11770502612970297,-0.16457472630996284,-0.061481858651161646,-0.030478244421839926,-0.00409879057674411,-0.16650247224563683,-0.05281989507741193,0.7,12.02688723832772,0.7036738902128394,21.79947525632784,-0.24684254855546184,-0.20239199962269305,-0.11651458890117494,0.36571561683582354,0.3226949242632958,1.0,0.5979006341640918,1.315381395161002,0.01307009852971027
1.3500000000000005,26.91804597606497,1.4984937735897674,0.1280822173835531,-0.10985052510886276,-0.22070846351728826,-0.07676872816505423,-0.03978726552832826,-0.005117915211003615,-0.18570137468157558,-0.05929295305217521,0.7,10.473079008770936,0.6540977011967515,19.568899515649466,-0.2826151936058336,-0.2358183304490016,-0.14177785891034977,0.39877824691084884,0.36616892679936913,1.0,0.6262298850304278,1.3777057470669412,0.014162875375991552
1.4000000000000006,27.910556229345428,1.6207785436056186,0.1170467942076887,-0.09760084774256216,-0.27042270539323965,-0.09482682003874744,-0.047914635329931156,-0.006321788002583163,-0.19781280917171673,-0.06376909435332324,0.7,9.043635594178923,0.6044721885327287,17.47804543521589,-0.3160925619223957,-0.2692659268962492,-0.1706416075278582,0.431815229462572,0.41140727670422855,1.0,0.6545873208384407,1.4400921058445697,0.015418788555112962
1.4500000000000006,28.904283960109705,1.732711612552105,0.1035256589380267,-0.08131129429812033,-0.3116658367613304,-0.11588648323016709,-0.054520659923011194,-0.007725765548677806,-0.20201250156257392,-0.06601178635284664,0.7,7.733536661804418,0.5547858019945148,15.52573457324965,-0.3447365968826509,-0.3007120393905832,-0.20239199962269305,0.464836930341614,0.459227395699771,1.0,0.6829795417174201,1.5025549917783245,0.016878418413193128
1.5000000000000007,29.899350102309192,1.8320086490873553,0.08794236709996019,-0.061463230510019964,-0.34262759578821583,-0.1399157933392021,-0.05930862926877596,-0.009327719555946806,-0.1977298928182915,-0.06584837153465022,0.7,6.537779671136001,0.5050324948845404,13.709751379987413,-0.36583726859312293,-0.3278475515583081,-0.2358183304490016,0.49785556320657753,0.5106499078570976,1.0,0.7114100029231198,1.5651020064308638,0.018590732547539953
