policy,t,x,y,psi,delta_rwa,delta_swa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lam,action,h,ttc,reward,reward_barrier,reward_takeover,collision,road_departure,success
heuristic,0.6,12.0,0.0,0.0,0.0,0.0,0.0,0.20916602316602315,0.0,1.0,0.0,48.0,1.4,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.65,13.0,0.0,0.0,0.0,0.0,0.0,0.24443055555555554,0.0,1.0,0.0,44.5625,1.35,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.7000000000000001,14.0,0.0,0.0,0.004891284833094218,0.0,0.0,0.27983673469387754,0.011739083599426122,0.9580502409297054,-0.41949759070294634,41.25,1.3,0.038333052958816984,-0.0,-0.0004399455715139417,0.0,0.0,0.0
heuristic,0.7500000000000001,15.0,0.0012228212082735545,0.0009782569666188436,0.013980091507039516,0.0,0.0,0.31158185665371596,0.026704420850562932,0.9142940441482716,-0.4375619678143372,38.06250051740197,1.25,0.034557052513401604,-0.0,-0.0018363777171146024,0.0,0.0,0.0
heuristic,0.8000000000000002,15.999996380600972,0.005411793428392294,0.004181523643230172,0.026582518709964004,0.0,0.0,0.33763229642169057,0.04422591679405828,0.869011592603032,-0.4528245154523969,35.00002099228376,1.2000001809699514,0.02923124024311106,-0.0,-0.004289490718098518,0.0,0.0,0.0
heuristic,0.8500000000000002,16.99996529710696,0.014936047975867686,0.010768871357101965,0.04136406930887081,0.0,0.0,0.35,0.062058240147340335,0.8226907424361705,-0.46320850166861494,32.06267696311737,1.1500017351446519,0.022393863000638958,-0.0,-0.00785964320445911,0.0,0.0,0.0
heuristic,0.9000000000000002,17.999831165698605,0.03277552924151436,0.02155557787958725,0.05668089783321475,0.0,0.0,0.35,0.07812445776729626,0.7767872635220107,-0.459034789141598,29.250836003832564,1.1000084417150697,0.015156815607911406,-0.0,-0.012455981431498078,0.0,0.0,0.0
heuristic,0.9500000000000003,18.999425783094313,0.06235721267762945,0.036875703119608506,0.07212525788772556,0.0,0.0,0.35,0.09374736196404068,0.7321503943884552,-0.4463686913355547,26.565352814716356,1.0500287108452844,0.006118161798244458,-0.0,-0.017935852806565025,0.0,0.0,0.0
heuristic,1.0000000000000002,19.998437513240685,0.10758503243761933,0.0568000020411704,0.08764224537652683,0.0004327912314023425,0.0,0.35,0.10936602786084862,0.6875256346832896,-0.4462475970516555,24.00791140035024,1.0000781243379657,-0.008974162148843072,-0.0,-0.02441005724502024,0.0,0.0,0.0
heuristic,1.0500000000000003,20.99634981928097,0.17270830987291647,0.08131633895995956,0.10012143740129836,0.0023417548938889903,2.8852748760156166e-05,0.32927082704115196,0.11759230623597851,0.6429268967303267,-0.44598737952962986,21.581491174679677,0.9501825090359516,-0.03071398990732092,-0.0,-0.0318753002696587,0.0,0.0,0.0
heuristic,1.1000000000000003,21.992439318023738,0.2613728371254409,0.1097868064068075,0.10622332045328932,0.006980625936775029,0.0001561169929259327,0.2889485895615385,0.11476595672607666,0.6031411805377953,-0.3978571619253135,19.290653778466865,0.9003780340988131,-0.05781337123970268,-0.0,-0.039374230646233695,0.0,0.0,0.0
heuristic,1.1500000000000004,22.98586026068588,0.3760062407998003,0.14066179960123792,0.10435179867545383,0.01562873698702329,0.0004653750624516686,0.23570104454097793,0.10173166818648413,0.569511318804155,-0.33629861733640354,17.14148009686571,0.850706986965706,-0.10253225204845202,-0.0,-0.04633012615943448,0.0,0.0,0.0
heuristic,1.2000000000000004,23.975785500978407,0.5176043234076482,0.17173923182140838,0.09386637685548382,0.029264843928701673,0.0010419157991348861,0.17156065800242493,0.07918678630752583,0.5417226898423416,-0.27788628961813333,15.141169532170288,0.8012107249510796,-0.17822782898270395,-0.0,-0.05250452325133465,0.0,0.0,0.0
heuristic,1.2500000000000004,24.961606372115785,0.6854342821299884,0.2004928230295363,0.07498065104106215,0.048352111537982786,0.0019509895952467783,0.09905302620628284,0.04854063490087181,0.5201990922986479,-0.21523597543693707,13.29714770942214,0.7519196813942107,-0.2983653486659259,-0.0,-0.057552227757760345,0.0,0.0,0.0
heuristic,1.3000000000000005,25.943151798628854,0.8768272535384383,0.22437380215017474,0.04880873589091695,0.07270438504849776,0.003223474102532186,0.0212925448501736,0.01216805468071367,0.5049783852692571,-0.15220707029390823,11.61571610382212,0.7028424100685573,-0.47752322209365333,-0.0,-0.06126159976265801,0.0,0.0,0.0
heuristic,1.3500000000000005,26.920853833552485,1.0871925245983838,0.24109343679138484,0.017249292429906145,0.1013974155712231,0.004846959003233184,-0.058160758389550773,-0.02693392841550898,0.49560325728635407,-0.0937512798290302,10.10049627183856,0.6539573083223758,-0.7271447170911486,-0.0,-0.063604018515034,0.0,0.0,0.0
heuristic,1.4000000000000006,27.89579355031062,1.3102490395906299,0.24886965599361047,-0.020138514607041358,0.1327129037509435,0.006759827704748206,-0.13553765365106937,-0.07248144445876785,0.44312948192405643,-0.5247377536229764,8.751020383794103,0.6052103224844689,-1.09860002824925,-0.0,-0.07752619347554245,0.0,0.0,0.0
heuristic,1.4500000000000006,28.869771625561597,1.5377229219382786,0.24603339427585122,-0.06374734893145467,0.16406881291110284,0.008847526916729567,-0.20484813752726347,-0.1247997169856333,0.3745907562041806,-0.6853872571987585,7.560821828558492,0.5565114187219201,-1.5411322501770184,-0.0,-0.09778418055631467,0.0,0.0,0.0
